id,question,choice_a,choice_b,choice_c,choice_d,answer,category,difficulty,year,status,reveal,source
DTN-001,Which non-Beatle played lead guitar on “While My Guitar Gently Weeps”?,Jimmy Page,Jeff Beck,Eric Clapton,George Harrison,Eric Clapton,Personnel,Medium,1968,verified,George Harrison invited Eric Clapton to play on the session.,
DTN-002,Who sang backing vocals on Peter Gabriel’s “Games Without Frontiers”?,Toyah Willcox,Kate Bush,Joni Mitchell,Annie Lennox,Kate Bush,Personnel,Medium,1980,verified,Kate Bush supplied the backing vocals on Gabriel’s 1980 single.,https://petergabriel.com/release/games-without-frontiers/
DTN-003,Who mixed the original 1973 release of the Stooges’ Raw Power?,Tony Visconti,John Cale,David Bowie,Iggy Pop,David Bowie,Production,Medium,1973,verified,Iggy Pop produced Raw Power; David Bowie mixed the original release.,https://www.davidbowie.com/2010/2010/02/14/raw-powers-original-bowie-mix-reinstated
DTN-004,Which Velvet Underground member came from New York’s avant-garde/minimalist music world?,John Cale,Sterling Morrison,Lou Reed,Doug Yule,John Cale,Connections,Medium,1960,review,"John Cale brought viola, drones and an experimental-music background into the Velvet Underground.",
DTN-005,Who sang the powerhouse guest vocal on the Rolling Stones’ “Gimme Shelter”?,P. P. Arnold,Claudia Lennear,Merry Clayton,Doris Troy,Merry Clayton,Personnel,Medium,1969,review,Merry Clayton’s late-night studio performance became one of rock’s most famous guest vocals.,
DTN-006,Which future Fleetwood Mac member wrote “Black Magic Woman”?,Danny Kirwan,Jeremy Spencer,Peter Green,Mick Fleetwood,Peter Green,Song Origins,Medium,1968,review,Peter Green wrote and recorded the song with Fleetwood Mac before Santana’s hit version.,
DTN-007,Who played electric piano on the Beatles’ “Get Back”?,George Martin,Nicky Hopkins,Leon Russell,Billy Preston,Billy Preston,Personnel,Easy,1969,review,Billy Preston joined the Get Back sessions and was credited on the single.,
DTN-008,Which artist designed the banana cover for The Velvet Underground & Nico?,Andy Warhol,Peter Blake,Milton Glaser,Robert Rauschenberg,Andy Warhol,Album Art,Easy,1967,review,Warhol’s peelable banana became one of rock’s most recognizable sleeves.,
DTN-009,"Before Crosby, Stills & Nash, Graham Nash was in which band?",Manfred Mann,The Hollies,The Zombies,The Searchers,The Hollies,Lineups,Easy,1968,review,Nash left the Hollies in 1968 and joined David Crosby and Stephen Stills.,
DTN-010,Which producer is synonymous with the “Wall of Sound”?,Joe Meek,George Martin,Phil Spector,Glyn Johns,Phil Spector,Production,Easy,1960,review,"Spector’s dense, layered productions defined the Wall of Sound.",
DTN-011,What does Rush’s title “YYZ” refer to?,A Toronto radio station,A synthesizer model,Toronto Pearson airport code,A Canadian rail line,Toronto Pearson airport code,Hidden Connections,Medium,1981,review,"YYZ is the IATA airport code for Toronto Pearson, near Rush’s home city.",
DTN-012,Which Rush song opens with a rhythm based on the letters YYZ in Morse code?,Tom Sawyer,La Villa Strangiato,The Spirit of Radio,YYZ,YYZ,Recording Lore,Medium,1981,review,The opening rhythm spells Y-Y-Z using Morse-code timing.,
DTN-013,"Who wrote “These Days,” recorded by Nico on Chelsea Girl?",Tim Buckley,Jackson Browne,Lou Reed,Leonard Cohen,Jackson Browne,Song Origins,Medium,1967,review,Jackson Browne wrote “These Days” when he was remarkably young; Nico recorded it for Chelsea Girl.,
DTN-014,Who co-wrote “Me and Bobby McGee” with Fred Foster?,Mickey Newbury,Roger Miller,Kris Kristofferson,Willie Nelson,Kris Kristofferson,Song Origins,Easy,1969,review,Kris Kristofferson and producer Fred Foster wrote the song before Janis Joplin’s famous version.,
DTN-015,Coolio’s “Gangsta’s Paradise” reworks which Stevie Wonder song?,Superstition,Pastime Paradise,Living for the City,Higher Ground,Pastime Paradise,Samples & Borrowing,Easy,1995,review,The track is built around Stevie Wonder’s “Pastime Paradise” from Songs in the Key of Life.,
DTN-016,John Williams has said the music in Close Encounters of the Third Kind was influenced by which Disney song?,Someday My Prince Will Come,When You Wish Upon a Star,A Dream Is a Wish Your Heart Makes,The Second Star to the Right,When You Wish Upon a Star,Hidden Connections,Hard,1977,review,The Pinocchio song is part of the musical DNA surrounding Close Encounters.,
DTN-017,Which Police song includes an early pop-culture reference to a VCR?,Driven to Tears,Too Much Information,"De Do Do Do, De Da Da Da","When the World Is Running Down, You Make the Best of What’s Still Around","When the World Is Running Down, You Make the Best of What’s Still Around",Lyrics & Technology,Hard,1980,unverified,The lyric mentions a VCR; the stronger claim that it was the first song to do so still needs verification.,
DTN-018,Which Suzanne Vega recording became important in the development of MP3 audio compression?,Luka,Marlene on the Wall,Tom’s Diner,Left of Center,Tom’s Diner,Technology,Medium,1987,review,Vega’s a cappella vocal was repeatedly used as a demanding test signal during MP3 development.,
DTN-019,What was David Bowie’s birth surname?,Davies,Bowie,Jones,Burns,Jones,Identity,Easy,1947,review,David Robert Jones adopted Bowie as a stage name.,
DTN-020,Who replaced Eric Clapton in the Yardbirds?,Jeff Beck,Mick Taylor,Peter Green,Jimmy Page,Jeff Beck,Lineups,Easy,1965,review,Jeff Beck followed Clapton; Jimmy Page joined later.,
DTN-021,Who produced the Velvet Underground’s album Loaded?,Andy Warhol,Geoff Haslam,Tom Wilson,Brian Eno,Geoff Haslam,Production,Hard,1970,review,"Loaded moved the band toward a more direct, song-oriented sound.",
DTN-022,Which producer worked on Bob Dylan’s “Like a Rolling Stone”?,Bob Johnston,George Martin,John Hammond,Tom Wilson,Tom Wilson,Production,Medium,1965,review,Tom Wilson produced the session that yielded Dylan’s breakthrough electric single.,
DTN-023,Who played organ on Bob Dylan’s “Like a Rolling Stone”?,Al Kooper,Paul Griffin,Mike Bloomfield,Garth Hudson,Al Kooper,Personnel,Medium,1965,review,"Al Kooper, not originally booked as the organist, slipped onto the instrument and created the signature part.",
DTN-024,Which guitarist played on Dylan’s “Maggie’s Farm” at Newport in 1965?,Roger McGuinn,Stephen Stills,Mike Bloomfield,Robbie Robertson,Mike Bloomfield,Personnel,Hard,1965,review,Bloomfield was part of the electric band behind Dylan’s famous Newport set.,
DTN-025,Which singer wrote “Woodstock” despite not attending the festival?,Joni Mitchell,Carole King,Grace Slick,Joan Baez,Joni Mitchell,Song Origins,Easy,1969,review,Mitchell wrote the song from afar after missing Woodstock; CSNY made it a rock anthem.,
DTN-026,Which member of CSNY wrote “Ohio”?,Stephen Stills,Neil Young,Graham Nash,David Crosby,Neil Young,Song Origins,Easy,1970,review,Neil Young wrote “Ohio” in response to the Kent State shootings.,
DTN-027,Who played the guitar solo on Michael Jackson’s “Beat It”?,Jeff Beck,Neal Schon,Steve Lukather,Eddie Van Halen,Eddie Van Halen,Personnel,Easy,1982,review,Eddie Van Halen supplied the famous solo while Steve Lukather also played guitar on the track.,
DTN-028,Who played the guitar solo on Steely Dan’s “Reelin’ in the Years”?,Larry Carlton,Jeff Baxter,Denny Dias,Elliott Randall,Elliott Randall,Personnel,Hard,1972,review,Session guitarist Elliott Randall played the celebrated solo.,
DTN-029,Who played fretless bass on Paul Simon’s “You Can Call Me Al”?,Jack Bruce,Bakithi Kumalo,Pino Palladino,Tony Levin,Bakithi Kumalo,Personnel,Hard,1986,review,South African bassist Bakithi Kumalo played the track’s remarkable bass part.,
DTN-030,Which Beatle played drums on the Beatles recording of “Back in the U.S.S.R.” after Ringo temporarily quit?,Paul McCartney,John Lennon,George Harrison,Pete Best,Paul McCartney,Studio Stories,Medium,1968,review,"With Ringo temporarily absent, the remaining Beatles contributed drums; McCartney is prominently associated with the part.",
DTN-031,Who played the famous saxophone solo on Gerry Rafferty’s “Baker Street”?,Clarence Clemons,David Sanborn,Raphael Ravenscroft,Bobby Keys,Raphael Ravenscroft,Personnel,Medium,1978,review,Raphael Ravenscroft played the instantly recognizable saxophone line.,
DTN-032,Who played saxophone on the Rolling Stones’ “Brown Sugar”?,King Curtis,Clarence Clemons,Wayne Shorter,Bobby Keys,Bobby Keys,Personnel,Medium,1971,review,Bobby Keys became a recurring Stones collaborator and played the song’s sax solo.,
DTN-033,Which singer appears on Massive Attack’s “Teardrop”?,Elizabeth Fraser,Tracey Thorn,Björk,Hope Sandoval,Elizabeth Fraser,Personnel,Medium,1998,review,Cocteau Twins singer Elizabeth Fraser supplied the lead vocal.,
DTN-034,Who sang lead on the Temptations’ “My Girl”?,David Ruffin,Eddie Kendricks,Dennis Edwards,Paul Williams,David Ruffin,Personnel,Medium,1964,review,David Ruffin’s lead vocal helped turn “My Girl” into a Motown standard.,
DTN-035,Who co-wrote the Monkees’ “I’m a Believer”?,Harry Nilsson,Neil Diamond,Carole King,Paul Simon,Neil Diamond,Song Origins,Easy,1966,review,Neil Diamond wrote the song before the Monkees made it a huge hit.,
DTN-036,"Who wrote “Different Drum,” made famous by the Stone Poneys with Linda Ronstadt?",John Phillips,Gene Clark,Neil Young,Michael Nesmith,Michael Nesmith,Song Origins,Medium,1967,review,Monkee Michael Nesmith wrote “Different Drum.”,
DTN-037,Which future member of the Eagles played with Linda Ronstadt before the Eagles formed?,Don Felder,Don Henley,Timothy B. Schmit,Joe Walsh,Don Henley,Connections,Medium,1971,review,Don Henley and Glenn Frey both backed Ronstadt before forming the Eagles.,
DTN-038,Which singer was originally asked to duet on Peter Gabriel’s “Don’t Give Up” before Kate Bush?,Dolly Parton,Annie Lennox,Joni Mitchell,Emmylou Harris,Dolly Parton,What If?,Hard,1986,review,Gabriel initially had Dolly Parton in mind; Kate Bush ultimately delivered the duet vocal.,
DTN-039,Which guitarist played the solo on David Bowie’s “Let’s Dance”?,Stevie Ray Vaughan,Carlos Alomar,Nile Rodgers,Robert Fripp,Stevie Ray Vaughan,Personnel,Easy,1983,review,Stevie Ray Vaughan’s guitar became a defining sound on Bowie’s Let’s Dance album.,
DTN-040,Who produced David Bowie’s Let’s Dance?,Tony Visconti,Brian Eno,Quincy Jones,Nile Rodgers,Nile Rodgers,Production,Easy,1983,review,Chic’s Nile Rodgers produced Bowie’s blockbuster 1983 album.,
DTN-041,Who played lead guitar on David Bowie’s “Heroes”?,Robert Fripp,Adrian Belew,Carlos Alomar,Mick Ronson,Robert Fripp,Personnel,Medium,1977,review,King Crimson guitarist Robert Fripp created the sustained guitar lines.,
DTN-042,Which producer collaborated with Bowie on Low and “Heroes”?,Tony Visconti,Chris Thomas,George Martin,Martin Hannett,Tony Visconti,Production,Medium,1977,review,Tony Visconti produced the Berlin-era albums with Bowie; Brian Eno was a crucial collaborator but not the producer.,
DTN-043,Who produced Joy Division’s Unknown Pleasures?,Tony Wilson,Brian Eno,Steve Lillywhite,Martin Hannett,Martin Hannett,Production,Easy,1979,review,"Martin Hannett’s spacious, unconventional production became inseparable from Joy Division’s sound.",
DTN-044,Which graphic designer created the iconic Unknown Pleasures cover treatment?,Peter Saville,Jamie Reid,Barney Bubbles,Storm Thorgerson,Peter Saville,Album Art,Medium,1979,review,Peter Saville adapted the pulsar visualization into Factory Records’ stark sleeve design.,
DTN-045,Which designer created the Sex Pistols’ ransom-note visual identity?,Peter Saville,Raymond Pettibon,Jamie Reid,Neville Brody,Jamie Reid,Album Art,Medium,1977,review,Jamie Reid’s cut-and-paste graphics became one of punk’s defining visual languages.,
DTN-046,Which artist designed the Rolling Stones’ Sticky Fingers cover?,Peter Blake,Guy Peellaert,Andy Warhol,Robert Mapplethorpe,Andy Warhol,Album Art,Medium,1971,review,Warhol conceived the famous jeans-and-zipper package.,
DTN-047,Who designed the Beatles’ Sgt. Pepper cover with Jann Haworth?,Peter Blake,Storm Thorgerson,Richard Hamilton,David Bailey,Peter Blake,Album Art,Medium,1967,review,Peter Blake and Jann Haworth created the famous crowd collage.,
DTN-048,Which artist designed the Beatles’ White Album packaging?,Richard Hamilton,Hipgnosis,Andy Warhol,Peter Blake,Richard Hamilton,Album Art,Hard,1968,review,Richard Hamilton pushed in the opposite direction from Sgt. Pepper with an almost blank sleeve.,
DTN-049,Which design studio is strongly associated with classic Pink Floyd album covers?,Assorted iMaGes,Factory,23 Envelope,Hipgnosis,Hipgnosis,Album Art,Easy,1970,review,"Hipgnosis, founded by Storm Thorgerson and Aubrey Powell, created many landmark Pink Floyd sleeves.",
DTN-050,Which Pink Floyd album cover famously shows a prism dispersing light?,Meddle,Wish You Were Here,Atom Heart Mother,The Dark Side of the Moon,The Dark Side of the Moon,Album Art,Easy,1973,review,Hipgnosis and George Hardie created the prism design.,
DTN-051,Who sang lead on Jefferson Airplane’s “Somebody to Love”?,Signe Toly Anderson,Marty Balin,Paul Kantner,Grace Slick,Grace Slick,Personnel,Easy,1967,review,"Grace Slick brought the song from her earlier band, the Great Society, to Jefferson Airplane.",
DTN-052,Which band first recorded “Somebody to Love” before Jefferson Airplane?,Moby Grape,Quicksilver Messenger Service,The Great Society,Big Brother and the Holding Company,The Great Society,Song Origins,Hard,1966,review,Grace Slick’s Great Society recorded the song before Jefferson Airplane’s hit version.,
DTN-053,Who wrote Jefferson Airplane’s “Somebody to Love”?,Marty Balin,Darby Slick,Grace Slick,Paul Kantner,Darby Slick,Song Origins,Medium,1966,review,Grace Slick’s brother-in-law Darby Slick wrote the song.,
DTN-054,Which band did Janis Joplin front before her solo career?,Moby Grape,It’s a Beautiful Day,Quicksilver Messenger Service,Big Brother and the Holding Company,Big Brother and the Holding Company,Lineups,Easy,1966,review,Joplin’s breakthrough came with Big Brother and the Holding Company.,
DTN-055,Who designed the cover art for Big Brother and the Holding Company’s Cheap Thrills?,Wes Wilson,Stanley Mouse,Robert Crumb,Rick Griffin,Robert Crumb,Album Art,Medium,1968,review,Underground cartoonist Robert Crumb drew the comic-strip cover.,
DTN-056,Which producer worked with the Doors on their classic early albums?,Tom Dowd,Bones Howe,Lou Adler,Paul A. Rothchild,Paul A. Rothchild,Production,Medium,1967,review,Paul A. Rothchild produced the Doors’ first five studio albums.,
DTN-057,Who played bass on many Doors studio recordings despite the band having no regular bassist onstage?,Larry Knechtel,Carol Kaye,Duck Dunn,James Jamerson,Larry Knechtel,Studio Stories,Hard,1967,review,Session musicians augmented the Doors in the studio; Larry Knechtel played bass on parts of the debut.,
DTN-058,Which Wrecking Crew bassist played on countless Los Angeles pop sessions?,Suzi Quatro,Carol Kaye,Kim Gordon,Tina Weymouth,Carol Kaye,Session Players,Medium,1960,review,Carol Kaye became one of the most prolific session bassists of the era.,
DTN-059,Which drummer was a key member of the Wrecking Crew and later recorded with John Lennon?,Earl Palmer,Hal Blaine,Jim Keltner,Jim Gordon,Hal Blaine,Session Players,Medium,1960,review,Hal Blaine’s session credits span an extraordinary range of 1960s and 1970s hits.,
DTN-060,Which bassist is most associated with Motown’s Funk Brothers and lines like “My Girl”?,James Jamerson,Willie Weeks,Bob Babbitt,Duck Dunn,James Jamerson,Session Players,Easy,1960,review,James Jamerson transformed electric bass playing from inside Motown’s house band.,
DTN-061,What was the name of Motown’s studio band?,The Swampers,Booker T. & the M.G.’s,The Funk Brothers,The Wrecking Crew,The Funk Brothers,Session Players,Easy,1960,review,The Funk Brothers played on a huge share of Motown’s classic recordings.,
DTN-062,What was the nickname for the Muscle Shoals Rhythm Section?,The Swampers,The Funk Brothers,The Section,The A-Team,The Swampers,Session Players,Medium,1969,review,The Muscle Shoals Rhythm Section became known as the Swampers.,
DTN-063,Which singer recorded “Respect” before Aretha Franklin?,Sam Cooke,Solomon Burke,Otis Redding,Wilson Pickett,Otis Redding,Song Origins,Easy,1965,review,Otis Redding wrote and released “Respect”; Franklin radically transformed it in 1967.,
DTN-064,"Who wrote “Piece of My Heart,” first recorded by Erma Franklin?",Goffin and King,Mann and Weil,Holland–Dozier–Holland,Jerry Ragovoy and Bert Berns,Jerry Ragovoy and Bert Berns,Song Origins,Hard,1967,review,Erma Franklin recorded the song before Big Brother and Janis Joplin made it a rock staple.,
DTN-065,Which singer first released “Hound Dog” before Elvis Presley?,LaVern Baker,Big Mama Thornton,Etta James,Ruth Brown,Big Mama Thornton,Song Origins,Easy,1952,review,Big Mama Thornton’s original recording preceded Elvis Presley’s version by several years.,
DTN-066,Who wrote “Hound Dog”?,Jerry Leiber and Mike Stoller,Holland–Dozier–Holland,Goffin and King,Doc Pomus and Mort Shuman,Jerry Leiber and Mike Stoller,Song Origins,Medium,1952,review,Leiber and Stoller wrote the song for Big Mama Thornton.,
DTN-067,Which songwriter wrote “Nothing Compares 2 U”?,Jimmy Jam,Prince,Sinead O’Connor,Morris Day,Prince,Song Origins,Easy,1985,review,Prince wrote the song; the Family recorded it before Sinéad O’Connor’s global hit.,
DTN-068,Which band originally recorded “Tainted Love”?,Shocking Blue,The Supremes,Gloria Jones,Soft Cell,Gloria Jones,Song Origins,Medium,1964,review,Gloria Jones first recorded “Tainted Love”; Soft Cell’s synth-pop cover became the international hit.,
DTN-069,Who wrote “I Love Rock ’n Roll” before Joan Jett made it famous?,Chinn and Chapman,Nicky Chinn and Suzi Quatro,Joan Jett and Kenny Laguna,Alan Merrill and Jake Hooker,Alan Merrill and Jake Hooker,Song Origins,Hard,1975,review,The Arrows first recorded the song; Joan Jett later turned it into a massive hit.,
DTN-070,Which band first released “The Man Who Sold the World” as a hit cover in 1974?,Lulu,Mott the Hoople,T. Rex,Roxy Music,Lulu,Covers,Hard,1974,review,Lulu recorded Bowie’s song with Bowie involved in the session and production.,
DTN-071,Who wrote Mott the Hoople’s “All the Young Dudes”?,Lou Reed,David Bowie,Mick Ronson,Ian Hunter,David Bowie,Song Origins,Easy,1972,review,Bowie gave Mott the Hoople the song as the band was considering breaking up.,
DTN-072,Which Bowie song did Mott the Hoople reportedly turn down before receiving “All the Young Dudes”?,Changes,Moonage Daydream,Starman,Suffragette City,Suffragette City,What If?,Hard,1972,review,Bowie first offered another Ziggy-era song before writing/giving them “All the Young Dudes.”,
DTN-073,Which producer made T. Rex’s classic glam-era records with Marc Bolan?,Gus Dudgeon,Tony Visconti,Roy Thomas Baker,Mickie Most,Tony Visconti,Production,Medium,1971,review,Tony Visconti produced T. Rex during their defining glam-rock run.,
DTN-074,Who produced Queen’s A Night at the Opera with the band?,Roy Thomas Baker,Tony Visconti,Mutt Lange,Gus Dudgeon,Roy Thomas Baker,Production,Medium,1975,review,Roy Thomas Baker co-produced Queen’s elaborate breakthrough album.,
DTN-075,Which Queen song famously contains no synthesizers despite its huge layered sound?,Bohemian Rhapsody,The Prophet’s Song,Somebody to Love,Killer Queen,Bohemian Rhapsody,Studio Stories,Medium,1975,review,"The dense arrangement was built from voices, guitars, piano, bass and drums rather than synths.",
DTN-076,Who produced the Cars’ debut album?,Brian Eno,Roy Thomas Baker,Mutt Lange,Todd Rundgren,Roy Thomas Baker,Production,Medium,1978,review,"Roy Thomas Baker brought his polished, layered production approach to The Cars.",
DTN-077,Which producer made the Ramones’ End of the Century?,Todd Rundgren,Phil Spector,Sire's Craig Leon,Tony Bongiovi,Phil Spector,Production,Medium,1980,review,The pairing of the Ramones with Wall-of-Sound architect Phil Spector was famously combustible.,
DTN-078,Who produced Patti Smith’s Horses?,Tom Wilson,John Cale,Todd Rundgren,Brian Eno,John Cale,Production,Medium,1975,review,Velvet Underground alumnus John Cale produced Smith’s landmark debut.,
DTN-079,Who produced the Modern Lovers’ original recordings later compiled as their debut album?,Todd Rundgren,John Cale,Jonathan Richman,Kim Fowley,John Cale,Production,Hard,1972,review,John Cale produced key early Modern Lovers sessions.,
DTN-080,Which former Velvet Underground member produced the Stooges’ debut album?,John Cale,Lou Reed,Andy Warhol,Nico,John Cale,Production,Medium,1969,review,"John Cale produced The Stooges, linking two foundational proto-punk worlds.",
DTN-081,Which musician produced the first Nico solo album Chelsea Girl?,Tom Wilson,Lou Reed,John Cale,Andy Warhol,Tom Wilson,Production,Hard,1967,review,Tom Wilson produced Chelsea Girl; its ornate overdubs were famously not to Nico’s taste.,
DTN-082,Which Velvet Underground album was produced by Tom Wilson?,Squeeze,The Velvet Underground,Loaded,White Light/White Heat,White Light/White Heat,Production,Hard,1968,review,Tom Wilson is credited as producer of the band’s abrasive second album.,
DTN-083,Which producer recorded the Velvet Underground’s early sessions and also worked with Bob Dylan?,John Hammond,Bob Johnston,Tom Wilson,George Martin,Tom Wilson,Connections,Medium,1966,review,"Tom Wilson’s career connects Dylan, Simon & Garfunkel, Frank Zappa and the Velvet Underground.",
DTN-084,Which Simon & Garfunkel song became a hit after producer Tom Wilson added electric instruments without the duo present?,Homeward Bound,A Hazy Shade of Winter,The Sound of Silence,I Am a Rock,The Sound of Silence,Studio Stories,Medium,1965,review,"Wilson overdubbed electric backing onto the acoustic recording, helping turn it into a hit.",
DTN-085,Who played drums on the Byrds’ hit recording of “Mr. Tambourine Man”?,Hal Blaine,Michael Clarke,Jim Gordon,Earl Palmer,Hal Blaine,Session Players,Hard,1965,review,Most of the instrumental backing on the hit single was played by Los Angeles session musicians.,
DTN-086,Which Byrd played 12-string guitar on “Mr. Tambourine Man”?,Gene Clark,David Crosby,Chris Hillman,Roger McGuinn,Roger McGuinn,Personnel,Medium,1965,review,McGuinn’s Rickenbacker 12-string supplied the record’s defining jangle.,
